HW;Vyrobce;Model;Rok;CMD;NKP;Zapojeni
820;VW;VW MQB radio CAN;196/ 1196;CN900;CAN2={196,0,120};
Teltonika 150;Agrifac;Condor 5000-36;2018+;;;
Teltonika 150;Berthoud;Raptor 4240;2020+;;;
Teltonika 150;Case IH;Axial Flow 7240;2018+;;;
Teltonika 150;Case IH;Magnum 290;2011-2013;;;
Teltonika 150;Case IH;Magnum 310;2014+;;;
Teltonika 150;Case IH;Magnum 340;2014+;;;
Teltonika 150;Case IH;Maxxum 115;2017+;;;
Teltonika 150;Case IH;Optum 270CVX;2017+;;;
Teltonika 150;Case IH;Puma 150;2018+;;;
Teltonika 150;Case IH;Puma 165;2007-2010;;;
Teltonika 150;Case IH;Puma 240;2017+;;;
Teltonika 150;Claas;Arion 420 T4;2017+;;;
Teltonika 150;Claas;Arion 430 (A32);2016+;;;
Teltonika 150;Claas;Arion 440 (A32);2016+;;;
Teltonika 150;Claas;Arion 440 (A52);2016+;;;
Teltonika 150;Claas;Arion 530 (A74);2019+;;;
Teltonika 150;Claas;Arion 640 (A19);2007-2011;;;
Teltonika 150;Claas;Arion 640 (A36);2011-2017;;;
Teltonika 150;Claas;Arion 650 (A74);2018+;;;
Teltonika 150;Claas;Axion 820;2009+;;;
Teltonika 150;Claas;Axion 830 (A40);2016+;;;
Teltonika 150;Claas;Axion 830 (A60);2020+;;;
Teltonika 150;Claas;Axion 850 (A09);2009-2013;;;
Teltonika 150;Claas;Axion 850 (A50);2020+;;;
Teltonika 150;Claas;Axion 850 (A60);2013-2020;;;
Teltonika 150;Claas;Axion 920 (A23);2018+;;;
Teltonika 150;Claas;Axion 930 (A44);2018+;;;
Teltonika 150;Claas;Axion 940 (A44);2018+;;;
Teltonika 150;Claas;Jaguar 850 (492);2007-2015;;;
Teltonika 150;Claas;Jaguar 850 (500);2020+;;;
Teltonika 150;Claas;Jaguar 940 (498);2015-2019;;;
Teltonika 150;Claas;Jaguar 950;2016+;;;
Teltonika 150;Claas;Lexion 420;2003+;;;
Teltonika 150;Claas;Lexion 450;2001-2002;;;
Teltonika 150;Claas;Lexion 520;2003-2011;;;
Teltonika 150;Claas;Lexion 540;2007-2011;;;
Teltonika 150;Claas;Lexion 650;2017+;;;
Teltonika 150;Claas;Lexion 660;2010-2013;;;
Teltonika 150;Claas;Lexion 660 T4;2013+;;;
Teltonika 150;Claas;Lexion 6800 (C84);2019+;;;
Teltonika 150;Claas;Lexion 760;2018+;;;
